???,Unnamed: 1,dlnC_RAW,dlnY_RAW,dlnC_NOME,dlnY_NOME,POP,RGDPPC_PPP,TO,FO
CAN,1959,1.365,-0.2,0.304,-0.55,17872.03,8676.237,0.293,1.0
CAN,1960,-0.526,-0.977,-0.49,-0.73,18266.77,8752.508,0.288,1.0
CAN,1961,-2.72,-0.94,-1.196,-0.174,18634.98,8832.745,0.295,1.0
CAN,1962,1.335,3.054,0.612,1.859,18985.85,9276.909,0.293,1.0
CAN,1963,0.383,1.22,0.448,1.437,19342.84,9566.382,0.293,1.0
CAN,1964,1.482,2.574,1.204,2.172,19711.05,9999.364,0.312,1.0
CAN,1965,2.014,2.775,1.465,2.541,20071.1,10472.917,0.313,0.994
CAN,1966,1.182,2.567,1.276,1.981,20448.5,10946.135,0.328,0.977
CAN,1967,-0.002,-0.653,0.425,0.512,20819.77,11078.27,0.332,0.952
CAN,1968,0.913,1.702,0.735,1.552,21143.1,11479.064,0.355,0.923
CAN,1969,1.366,1.853,0.855,1.318,21448.07,11912.352,0.359,0.898
CAN,1970,-1.359,-0.7,0.039,0.338,21749.99,12050.491,0.355,0.875
CAN,1971,2.226,2.304,1.877,1.851,22026.4,12561.926,0.352,0.852
CAN,1972,3.726,2.131,3.026,2.013,22284.5,13072.494,0.366,0.827
CAN,1973,3.548,3.837,2.834,2.679,22559.5,13837.895,0.391,0.798
CAN,1974,1.731,0.764,2.067,1.039,22874.7,14204.689,0.431,0.773
CAN,1975,0.525,-1.07,1.049,0.3,23209.2,14316.263,0.406,0.756
CAN,1976,1.924,2.16,1.24,1.191,23517.5,14902.392,0.393,0.75
CAN,1977,-0.224,0.274,0.028,0.373,23796.4,15222.681,0.407,0.75
CAN,1978,0.151,1.109,-0.03,0.874,24036.3,15680.2,0.437,0.75
CAN,1979,-0.526,1.224,-0.82,0.373,24276.9,16170.145,0.476,0.75
CAN,1980,-1.401,-1.818,-1.316,-1.179,24593.3,16175.706,0.479,0.75
CAN,1981,-1.853,-0.035,-2.07,-1.119,24900.0,16472.45,0.469,0.75
CAN,1982,-5.612,-6.151,-2.935,-2.804,25201.9,15779.406,0.415,0.756
CAN,1983,-0.204,0.012,-0.639,-0.217,25456.3,16076.413,0.419,0.773
CAN,1984,1.413,2.763,0.642,1.287,25701.8,16835.825,0.479,0.798
CAN,1985,2.142,2.485,1.282,1.464,25941.6,17582.069,0.477,0.833
CAN,1986,0.877,-0.272,0.852,0.499,26203.8,17862.104,0.471,0.875
CAN,1987,1.001,0.832,0.804,0.654,26549.7,18348.155,0.447,0.917
CAN,1988,1.159,1.602,0.462,0.267,26894.8,18993.077,0.456,0.952
CAN,1989,-0.188,-1.247,-0.527,-1.312,27379.3,19108.487,0.43,0.977
CAN,1990,-2.156,-3.096,-1.859,-2.52,27790.6,18872.389,0.425,0.994
CAN,1991,-4.594,-5.178,-2.747,-3.393,28117.6,18262.464,0.416,1.0
CAN,1992,-1.712,-2.415,-1.779,-2.1,28545.0,18146.725,0.45,1.0
CAN,1993,-1.415,-0.917,-1.387,-0.983,28953.0,18309.108,0.498,1.0
CAN,1994,0.03,1.671,-0.465,0.381,29331.0,18941.768,0.561,1.0
CAN,1995,-0.971,-0.319,-0.862,-0.508,29691.0,19237.798,0.603,1.0
CAN,1996,-0.464,-1.477,-0.059,-0.494,30026.0,19330.597,0.606,1.0
CAN,1997,1.675,1.234,0.58,0.822,30305.84,19961.823,0.644,1.0
CAN,1998,-0.122,1.087,0.302,1.192,30552.0,20612.387,0.673,1.0
CAN,1999,0.888,2.54,0.549,1.773,30821.0,21563.041,0.685,1.0
CAN,2000,1.137,2.234,0.782,1.42,31100.0,22487.708,0.712,1.0
CAN,2001,-0.551,-1.103,0.172,-0.178,31377.0,22686.646,0.673,1.0
CAN,2002,0.806,0.195,0.583,0.029,31641.0,23155.137,0.644,1.0
CAN,2003,0.201,-0.835,0.379,-0.417,31889.0,23406.98,0.589,1.0
CAN,2004,0.533,-0.094,0.496,-0.203,32135.0,23952.909,0.582,1.0
CAN,2005,1.114,0.276,0.976,-0.251,32386.0,24484.345,0.597,1.0
CAN,2006,1.421,-0.06,0.779,-0.392,32657.0,24967.167,0.582,1.0
CAN,2007,0.618,-0.781,0.451,-1.189,32386.0,25300.084,0.56,1.0
CAN,2008,0.122,-1.939,0.066,-1.995,33213.0,25262.071,0.573,1.0
CAN,2009,-2.608,-5.991,-1.041,-3.257,33590.814,24361.021,0.473,1.0
CAN,2010,1.868,0.07,0.607,-0.839,33964.716,24941.236,0.495,1.0
CAN,2011,-0.527,0.253,-0.554,-0.607,34307.773,25992.744,0.52,1.0
CAN,2012,-1.088,-1.302,-0.549,-1.046,34702.84,26626.972,0.504,1.0
CAN,2013,-0.405,-0.557,-0.541,-0.823,35107.908,27407.231,0.504,1.0
CAN,2014,-0.248,-0.403,-0.59,-1.0,35501.974,28296.954,0.524,1.0
CAN,2015,-0.735,-1.748,-0.744,-1.495,35827.029,28611.426,0.536,1.0
