???;;dlnC_RAW;dlnY_RAW;dlnC_NOME;dlnY_NOME;POP;RGDPPC_PPP;TO ;FO
AUS;2005;0.7125578;0.47545657;0.94040047;0.41400881;20232;23764.614;0.328894091;0.75
AUS;2006;1.0194689;0.088767557;0.84101228;0.55692281;20489;24097.573;0.349364693;0.75
AUS;2007;-0.71238844;1.6858801;-0.42519123;0.69142611;20750;24911.578;0.336062893;0.75
AUS;2008;-0.82845519;0.25680216;-0.40710549;0.079191893;21007;25218.302;0.389552138;0.75
AUS;2009;-0.49012569;-1.6358843;-0.36303687;-0.85389375;21388.483;25255.639;0.322131776;0.75
AUS;2010;-0.38482829;-0.94003864;-0.10889244;-0.61095562;21687.801;25584.488;0.347065114;0.75
AUS;2011;1.2688088;-0.41499649;0.4103603;-0.35099524;22035.048;25873.432;0.352944039;0.75
AUS;2012;-0.3277786;0.41374701;-0.2594502;-0.088623868;22440.985;26395.155;0.334988315;0.75
AUS;2013;-1.3157721;-0.59152378;-0.65146101;-0.4466237;22812.686;26527.066;0.335874706;0.75
AUS;2014;0.02298105;-0.33046282;-0.18030082;-0.37539501;23156.021;26817.468;0.332446019;0.75
AUS;2015;0.04642322;-0.44188135;-0.25206738;-0.5775383;23488.596;27091.147;0.32690219;0.75
AUS;2016;0.26075306;-0.14056887;-0.26074903;-0.59634717;23853.45;27382.671;0.315572687;0.75
CAN;1875;-7.0361123;-5.688207;-4.8218478;-3.8284162;4071;1783.9666;0.382361002;nan
CAN;1876;-10.789565;-10.21108;-5.489638;-4.9342557;4128;1640.9167;0.400787346;nan
CAN;1877;5.1897616;3.2857666;-0.29540404;-0.89126504;4184;1727.4407;0.388777444;nan
CAN;1878;-7.0903592;-7.2173058;-3.0477737;-2.6781237;4244;1637.2017;0.366167133;nan
CAN;1879;3.7116383;5.6769939;1.3434888;2.2646159;4312;1765.2338;0.350461778;nan
CAN;1880;-0.41703699;0.97679807;1.4540227;2.0459041;4384;1815.8869;0.388003834;nan
CAN;1881;12.638812;9.7645497;5.994078;5.3621439;4451;2039.5776;0.374545666;nan
CAN;1882;-0.5248389;1.4975475;0.40955511;1.7446899;4503;2109.0722;0.353862188;nan
CAN;1883;-4.6257455;-2.74338;-1.8024711;-0.36035058;4560;2090.3658;0.318873901;nan
CAN;1884;-2.3705431;4.6555964;-1.5709504;0.64706147;4617;2230.9335;0.319561432;nan
CAN;1885;-0.1366481;-9.2037857;-0.43164848;-4.208942;4666;2072.8101;0.326403128;nan
CAN;1886;-0.058781315;-1.7352255;-0.27883618;-1.2231119;4711;2075.2452;0.347759094;nan
CAN;1887;-1.7940984;0.27667365;-0.41271026;0.16020123;4760;2119.9;0.312563413;nan
CAN;1888;3.6417609;4.054289;1.8014249;1.3499291;4813;2248.9009;0.31096106;nan
CAN;1889;0.36154952;-2.2840996;1.2382736;-0.3097969;4865;2239.2173;0.314139319;nan
CAN;1890;6.5694079;4.1769768;2.532841;1.3943033;4918;2378.3774;0.304922974;1
CAN;1891;-3.6920927;-0.5853452;-1.3959878;-0.64759665;4972;2408.7265;0.322670059;1
CAN;1892;-1.0546448;-3.4375255;-1.250761;-1.953316;5022;2370.8395;0.327009717;1
CAN;1893;-4.4272953;-3.4314502;-2.4198885;-1.9333063;5072;2333.6995;0.329714775;1
CAN;1894;1.3632057;1.7979057;-1.0378711;-0.69549273;5121;2420.4608;0.322377117;1
CAN;1895;-4.9314077;-3.9189213;-3.0065196;-2.1207868;5169;2370.9646;0.348900726;1
CAN;1896;-5.2217005;-5.3936017;-2.5476958;-1.7668272;5218;2288.4768;0.376082407;1
CAN;1897;2.278036;7.4471837;0.59795261;3.1273483;5269;2511.5134;0.398872001;1
CAN;1898;-0.053158261;0.9717417;1.4376195;2.014259;5325;2583.4562;0.395127455;1
CAN;1899;10.718516;6.0401973;5.8894125;4.3118937;5383;2795.6151;0.431002128;1
CAN;1900;2.4851274;2.2008427;2.8248683;2.9546341;5457;2911.2663;0.411084061;1
CAN;1901;-0.85359183;4.325264;1.4189404;3.7867575;5536;3096.7767;0.410835976;1
CAN;1902;6.4878355;5.4360562;2.942528;3.4938082;5650;3330.9246;0.401929619;1
CAN;1903;-4.8503098;-1.7714127;-1.559552;0.067422505;5813;3333.6281;0.386198701;1
CAN;1904;-1.3691093;-3.4879335;-0.044978154;-0.32617376;5994;3279.5642;0.375679208;1
CAN;1905;4.299579;6.4039157;2.333242;3.7836492;6166;3561.8171;0.3899987;1
CAN;1906;5.8718492;5.8288828;2.1356292;2.8794447;6282;3846.2069;0.289667963;1
CAN;1907;-2.73935;-1.1108129;-2.3686787;-0.67152158;6596;3874.8502;0.355819177;1
CAN;1908;-13.742173;-9.9890598;-5.1660727;-3.5746127;6813;3572.0611;0.331964158;1
CAN;1909;6.3050482;5.6303735;1.7492889;2.3909138;6993;3849.5976;0.363914678;1
CAN;1910;1.7908874;3.6103435;0.79585647;2.1287357;7188;4065.7613;0.36731082;1
CAN;1911;2.405332;1.6941402;0.72916169;1.6030867;7410;4212.5377;0.371669805;1
CAN;1912;-0.30549184;1.9800298;-1.2893958;0.64890393;7602;4377.1308;0.420229394;1
CAN;1913;-4.1206388;-0.27423087;-4.1032485;-1.2754739;7852;4446.7652;0.405058021;1
CAN;1914;-13.221808;-11.810201;-6.981021;-4.8700919;8093;4025.2846;0.374502926;0.987262009
CAN;1915;-2.0308218;3.1761599;-2.2617659;1.16665;8191;4232.8883;0.478691532;0.953491872
CAN;1916;4.7829046;7.4621184;0.64221223;2.6301798;8214;4646.1149;0.624475364;0.890502709
CAN;1917;-0.40591814;1.417797;-1.1884384;-0.8358267;8277;4800.5809;0.638798038;0.800251171
CAN;1918;-0.095179742;-9.6474585;-2.4013234;-6.5224184;8374;4440.5947;0.513671066;0.699748829
CAN;1919;-14.958027;-11.819245;-7.1237731;-8.7970545;8548;4019.343;0.510832465;0.609497291
CAN;1920;7.9563407;-5.8595856;-0.50712223;-7.0669563;8798;3861.4762;0.520659821;0.546508128
CAN;1921;-20.233023;-15.852394;-9.23014;-8.5817134;9028;3357.0102;0.395942388;0.512737991
CAN;1922;7.6712094;10.361911;1.8577584;3.690942;9159;3793.1455;0.391124589;0.5
CAN;1923;-1.321378;2.8546631;-0.33815071;1.7933489;9256;3975.9576;0.421270679;0.525475982
